"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","158.00 Number","Number","2013/2014_Oct","2013-10-01","2013-10-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","532.00 Number","Number","2013/2014_Q3","2013-10-01","2013-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","192.00 Number","Number","2013/2014_Nov","2013-11-01","2013-11-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","182.00 Number","Number","2013/2014_Dec","2013-12-01","2013-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","170.00 Number","Number","2013/2014_Jan","2014-01-01","2014-01-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","472.00 Number","Number","2013/2014_Q4","2014-01-01","2014-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","129.00 Number","Number","2013/2014_Feb","2014-02-01","2014-02-28","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","173.00 Number","Number","2013/2014_Mar","2014-03-01","2014-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","497.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","1863.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","167.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","179.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","151.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","164.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","463.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","145.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","154.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","493.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","164.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","181.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","148.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","140.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","410.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","130.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","141.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","434.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","1583.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","152.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","146.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","136.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","421.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","147.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","148.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","126.00 Number","Number","2015/2016_Sep","2015-09-01","2015-09-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","377.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","133.00 Number","Number","2015/2016_Oct","2015-10-01","2015-10-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","110.00 Number","Number","2015/2016_Nov","2015-11-01","2015-11-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","134.00 Number","Number","2015/2016_Dec","2015-12-01","2015-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","116.00 Number","Number","2015/2016_Jan","2016-01-01","2016-01-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","351.00 Number","Number","2015/2016_Q4","2016-01-01","2016-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","99.00 Number","Number","2015/2016_Feb","2016-02-01","2016-02-29","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","136.00 Number","Number","2015/2016_Mar","2016-03-01","2016-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","1548.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","401.00 Number","Number","2016/2017_Q1","2016-04-01","2016-06-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","125.00 Number","Number","2016/2017_Apr","2016-04-01","2016-04-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","137.00 Number","Number","2016/2017_May","2016-05-01","2016-05-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","139.00 Number","Number","2016/2017_Jun","2016-06-01","2016-06-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","399.00 Number","Number","2016/2017_Q2","2016-07-01","2016-09-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","150.00 Number","Number","2016/2017_Jul","2016-07-01","2016-07-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","134.00 Number","Number","2016/2017_Aug","2016-08-01","2016-08-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","115.00 Number","Number","2016/2017_Sep","2016-09-01","2016-09-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","382.00 Number","Number","2016/2017_Q3","2016-10-01","2016-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","136.00 Number","Number","2016/2017_Oct","2016-10-01","2016-10-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","119.00 Number","Number","2016/2017_Nov","2016-11-01","2016-11-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","127.00 Number","Number","2016/2017_Dec","2016-12-01","2016-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","366.00 Number","Number","2016/2017_Q4","2017-01-01","2017-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","134.00 Number","Number","2016/2017_Jan","2017-01-01","2017-01-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","99.00 Number","Number","2016/2017_Feb","2017-02-01","2017-02-28","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","133.00 Number","Number","2016/2017_Mar","2017-03-01","2017-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","126.00 Number","Number","2017/2018_Apr","2017-04-01","2017-04-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NC","Number","2017/2018","2017-04-01","2018-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","412.00 Number","Number","2017/2018_Q1","2017-04-01","2017-06-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","154.00 Number","Number","2017/2018_May","2017-05-01","2017-05-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","132.00 Number","Number","2017/2018_Jun","2017-06-01","2017-06-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","139.00 Number","Number","2017/2018_Jul","2017-07-01","2017-07-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","422.00 Number","Number","2017/2018_Q2","2017-07-01","2017-09-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","149.00 Number","Number","2017/2018_Aug","2017-08-01","2017-08-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","134.00 Number","Number","2017/2018_Sep","2017-09-01","2017-09-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NC","Number","2017/2018_Q3","2017-10-01","2017-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","133.00 Number","Number","2017/2018_Oct","2017-10-01","2017-10-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","124.00 Number","Number","2017/2018_Nov","2017-11-01","2017-11-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NC","Number","2017/2018_Dec","2017-12-01","2017-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NC","Number","2017/2018_Q4","2018-01-01","2018-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NC","Number","2017/2018_Jan","2018-01-01","2018-01-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NC","Number","2017/2018_Feb","2018-02-01","2018-02-28","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NC","Number","2017/2018_Mar","2018-03-01","2018-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019","2018-04-01","2019-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Q1","2018-04-01","2018-06-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Apr","2018-04-01","2018-04-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_May","2018-05-01","2018-05-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Jun","2018-06-01","2018-06-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Jul","2018-07-01","2018-07-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Q2","2018-07-01","2018-09-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Aug","2018-08-01","2018-08-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Sep","2018-09-01","2018-09-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Q3","2018-10-01","2018-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Oct","2018-10-01","2018-10-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Nov","2018-11-01","2018-11-30","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Dec","2018-12-01","2018-12-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Q4","2019-01-01","2019-03-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Jan","2019-01-01","2019-01-31","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Feb","2019-02-01","2019-02-28","Monthly"
"DOMV6","Domestic Violence Occurrence Type - PSW Domestic Incident","NA","Number","2018/2019_Mar","2019-03-01","2019-03-31","Monthly"
